Name|Default|Cheat|Description
r_citadel_distancefield_ray_origin_bias_max|3|No|Distance field ray origin bias max
r_citadel_distancefield_ray_origin_bias_min|0.25|No|Distance field ray origin bias min
r_citadel_distancefield_shadows|true|No|
r_citadel_dlss_settings_mode|0|No|
r_citadel_enable_pano_world_blur|true|No|Enable world-blur style
r_citadel_fog_quality|1|No|Fog Quality
r_citadel_fsr2_sharpness|0.5|No|
r_citadel_fsr3_min_reactiveness|0.1|No|minimum reactiveness for the FSR3 shader
r_citadel_fsr_enable_mip_bias|true|No|Apply negative mip bias when rendering with FSR.
r_citadel_fsr_rcas_sharpness|0.25|No|RCAS sharpness when using FSR + RCAS upsample.
r_citadel_glow_health_bar_debug|false|Yes|
r_citadel_glow_health_bars|true|No|
r_citadel_gpu_culling_shadows|true|No|Citadel/Graphics/GPU Cull Shadow Views
r_citadel_gpu_culling_two_pass|true|No|Citadel/Graphics/GPU Culling (Two Pass)
r_citadel_gpu_culling|true|No|Citadel/Graphics/GPU Culling
r_citadel_gpu_debug_draw|false|No|
r_citadel_gpu_preview_baked_shadows|true|No|
r_citadel_gpu_preview_denoise_depth_phi|20|No|
r_citadel_gpu_preview_denoise_normal_phi|96|No|
r_citadel_gpu_preview_denoise_passes|3|No|
r_citadel_gpu_preview_denoise_shadow_passes|1|No|
r_citadel_gpu_preview_denoise_signal_phi|1|No|
r_citadel_gpu_preview_denoise|true|No|
r_citadel_highlight_particle_only_portraits|false|No|
r_citadel_mboit_bias|5e-06|Yes|
r_citadel_mboit_enabled|false|No|enable moments oit
r_citadel_mboit_overestimation|0.25|Yes|
r_citadel_mboit_quality|0|No|MBOIT quality, 0: 4 Moments
r_citadel_npr_force_solid_outline|false|No|
r_citadel_npr_outlines_max_dist|600|Yes|Maximum distance at which NPR outlines are rendered
r_citadel_npr_outlines|true|Yes|Enable/Disable NPR Outlines
r_citadel_portrait_allow_particle_only|true|No|
r_citadel_portrait_highlight_particle_only|false|No|
